rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
"8,965",Kamen Rider Gaim: Great Soccer Battle! Golden Fruits Cup!,"$8,405,854",-,-,"$8,405,854",100%,2014
"8,966",Roommates Wanted,"$8,405,304",-,-,"$8,405,304",100%,2016
"8,967",Dr. Giggles,"$8,403,433","$8,403,433",100%,$0,-,1992
"8,968",Freche Mädchen,"$8,402,879",-,-,"$8,402,879",100%,2008
"8,969",Twice in a Lifetime,"$8,402,424","$8,402,424",100%,$0,-,1985
"8,970",Meteor,"$8,400,000","$8,400,000",100%,$0,-,1979
"8,971",Something Wicked This Way Comes,"$8,400,000","$8,400,000",100%,$0,-,1983
"8,972",Malang,"$8,399,765",-,-,"$8,399,765",100%,2020
"8,973","Karol - The Pope, the Man","$8,398,420",-,-,"$8,398,420",100%,2006
"8,974",Death Defying Acts,"$8,396,245","$5,665",<0.1%,"$8,390,580",99.9%,2008
"8,975",Sadako 2 3D,"$8,385,405",-,-,"$8,385,405",100%,2013
"8,976",Feelings,"$8,385,395",-,-,"$8,385,395",100%,2003
"8,977",Yolki 9,"$8,385,030",-,-,"$8,385,030",100%,2022
"8,978",Death to Smoochy,"$8,382,938","$8,364,691",99.8%,"$18,247",0.2%,2002
"8,979",Bones,"$8,378,853","$7,316,658",87.3%,"$1,062,195",12.7%,2001
"8,980",Wir sind die Neuen,"$8,373,880",-,-,"$8,373,880",100%,2014
"8,981",Mighty Pups,"$8,373,241",-,-,"$8,373,241",100%,2018
"8,982",Delicious,"$8,371,523",-,-,"$8,371,523",100%,2021
"8,983",Smoke,"$8,367,636","$8,367,636",100%,$0,-,1995
"8,984",The Love Punch,"$8,366,493","$266,588",3.2%,"$8,099,905",96.8%,2014
"8,985",Something Wild,"$8,363,432","$8,362,969",100%,$463,<0.1%,1986
"8,986",Fortune Salon,"$8,362,014",-,-,"$8,362,014",100%,2009
"8,987",Twin Dragons,"$8,359,717","$8,359,717",100%,$0,-,1999
"8,988",Some Like It Cold,"$8,358,478",-,-,"$8,358,478",100%,2014
"8,989","Help, I Shrunk My Parents","$8,351,526",-,-,"$8,351,526",100%,2018
"8,990",Little Forest,"$8,350,466",-,-,"$8,350,466",100%,2018
"8,991",Venus in Fur,"$8,350,026","$373,605",4.5%,"$7,976,421",95.5%,2013
"8,992",Siegfried,"$8,349,626",-,-,"$8,349,626",100%,2005
"8,993",My Life as a Dog,"$8,349,284","$8,345,266",100%,"$4,018",<0.1%,1987
"8,994",Pettson & Findus - Katten och gubbens år,"$8,348,052",-,-,"$8,348,052",100%,2000
"8,995",Mr. Jones,"$8,345,845","$8,345,845",100%,$0,-,1993
"8,996",I Am Not Your Negro,"$8,345,298","$7,123,919",85.4%,"$1,221,379",14.6%,2017
"8,997",A Simple Wish,"$8,345,056","$8,345,056",100%,$0,-,1997
"8,998",When Mom Is Away,"$8,343,322",-,-,"$8,343,322",100%,2019
"8,999",Fresh Precure!,"$8,341,362",-,-,"$8,341,362",100%,2009
"9,000",Return to Paradise,"$8,341,087","$8,341,087",100%,$0,-,1998
"9,001",The Big Score,"$8,335,944",-,-,"$8,335,944",100%,2016
"9,002",S.W.A.T.,"$8,332,573",-,-,"$8,332,573",100%,2019
"9,003",Bordertown,"$8,332,427",-,-,"$8,332,427",100%,2007
"9,004",Old Cinderella,"$8,330,000",-,-,"$8,330,000",100%,2014
"9,005",Lipstick,"$8,328,666","$8,328,666",100%,$0,-,1976
"9,006",Happiness,"$8,324,700",-,-,"$8,324,700",100%,2007
"9,007",We Are from the Future,"$8,321,959",-,-,"$8,321,959",100%,2008
"9,008",Khatta Meetha,"$8,319,469","$541,904",6.5%,"$7,777,565",93.5%,2010
"9,009",Dream,"$8,317,251",-,-,"$8,317,251",100%,2023
"9,010",Larger Than Life,"$8,315,693","$8,315,693",100%,$0,-,1996
"9,011",Superior 8 Ultra Brothers,"$8,314,917",-,-,"$8,314,917",100%,2008
"9,012",Time Renegades,"$8,312,361","$59,425",0.7%,"$8,252,936",99.3%,2016
"9,013",London Boulevard,"$8,307,227","$16,075",0.2%,"$8,291,152",99.8%,2010
"9,014",The Spies,"$8,304,356",-,-,"$8,304,356",100%,2012
"9,015",The Professor and His Beloved Equation,"$8,299,771",-,-,"$8,299,771",100%,2006
"9,016",Kuroko's Basketball: Last Game,"$8,299,018",-,-,"$8,299,018",100%,2017
"9,017",Beremennyy,"$8,297,966",-,-,"$8,297,966",100%,2011
"9,018",Battalion,"$8,292,235",-,-,"$8,292,235",100%,2015
"9,019",Birthday,"$8,291,726",-,-,"$8,291,726",100%,2019
"9,020",Office,"$8,290,521","$63,675",0.8%,"$8,226,846",99.2%,2015
"9,021",Reckless,"$8,289,916","$8,289,916",100%,$0,-,1984
"9,022",Don,"$8,287,406",-,-,"$8,287,406",100%,2022
"9,023",The Fish That Saved Pittsburgh,"$8,281,246","$8,281,246",100%,$0,-,1979
"9,024",Deadly Blessing,"$8,279,042","$8,279,042",100%,$0,-,1981
"9,025",Shotgun Wedding,"$8,277,788",-,-,"$8,277,788",100%,2022
"9,026",Unstoppable Marriage,"$8,274,007",-,-,"$8,274,007",100%,2007
"9,027",Up for Love,"$8,273,919",-,-,"$8,273,919",100%,2016
"9,028",Flood,"$8,272,729",-,-,"$8,272,729",100%,2007
"9,029",YMCA Baseball Team,"$8,271,113",-,-,"$8,271,113",100%,2002
"9,030",You Are God,"$8,267,630",-,-,"$8,267,630",100%,2012
"9,031",Redline,"$8,267,379","$6,881,022",83.2%,"$1,386,357",16.8%,2007
"9,032",Burnt by the Sun 2,"$8,266,778",-,-,"$8,266,778",100%,2010
"9,033",Cry-Baby,"$8,266,655","$8,266,343",100%,$312,-,1990
"9,034",Sen Kimsin?,"$8,261,075",-,-,"$8,261,075",100%,2012
"9,035",The Letters,"$8,260,214",-,-,"$8,260,214",100%,2006
"9,036",Dazed and Confused,"$8,259,076","$8,249,404",99.9%,"$9,672",0.1%,1993
"9,037",Satisfaction,"$8,253,123","$8,253,123",100%,$0,-,1988
"9,038",Anonymous,"$8,252,627",-,-,"$8,252,627",100%,2014
"9,039",Merry Christmas,"$8,252,188",-,-,"$8,252,188",100%,2001
"9,040",Christopher Columbus: The Discovery,"$8,251,071","$8,251,071",100%,$0,-,1992
"9,041",Hamilton: In the Interest of the Nation,"$8,249,053",-,-,"$8,249,053",100%,2012
"9,042",The Blob,"$8,248,524","$8,247,943",100%,$581,<0.1%,1988
"9,043",All Inclusive,"$8,242,564",-,-,"$8,242,564",100%,2009
"9,044",Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%,2022
"9,045",Jet Lag,"$8,233,189","$794,964",9.7%,"$7,438,225",90.3%,2002
"9,046",My Worst Nightmare,"$8,226,544","$21,952",0.3%,"$8,204,592",99.7%,2011
"9,047",Hoot,"$8,224,998","$8,117,637",98.7%,"$107,361",1.3%,2006
"9,048",Amongst Heroes,"$8,224,084",-,-,"$8,224,084",100%,2010
"9,049",Sunflower,"$8,221,999",-,-,"$8,221,999",100%,2006
"9,050",The Fixies: Top Secret,"$8,220,990",-,-,"$8,220,990",100%,2017
"9,051",Bloodline,"$8,218,695","$8,218,695",100%,$0,-,1979
"9,052",Blue Steel,"$8,217,997","$8,217,997",100%,$0,-,1990
"9,053",Black Robe,"$8,212,122","$8,211,952",100%,$170,-,1991
"9,054",It Runs in the Family,"$8,211,508","$7,491,839",91.2%,"$719,669",8.8%,2003
"9,055",The Scent,"$8,211,138",-,-,"$8,211,138",100%,2012
"9,056",Vacaciones de verano,"$8,209,854",-,-,"$8,209,854",100%,2023
"9,057",Runway Cop,"$8,209,016",-,-,"$8,209,016",100%,2012
"9,058",Le barzellette,"$8,206,544",-,-,"$8,206,544",100%,2004
"9,059",Whose Life Is It Anyway?,"$8,206,145","$8,206,145",100%,$0,-,1981
"9,060",I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%,2021
"9,061",The Machinist,"$8,203,235","$1,082,715",13.2%,"$7,120,520",86.8%,2004
"9,062",Lucas,"$8,200,000","$8,200,000",100%,$0,-,1986
"9,063",Return of the Cuckoo,"$8,198,787",-,-,"$8,198,787",100%,2015
"9,064",On the Wandering Paths,"$8,187,567",-,-,"$8,187,567",100%,2023
"9,065",Otto's Eleven,"$8,184,947",-,-,"$8,184,947",100%,2010
"9,066",Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%,2023
"9,067",Cave of Forgotten Dreams,"$8,183,347","$5,304,920",64.8%,"$2,878,427",35.2%,2011
"9,068",The Big Year,"$8,179,416","$7,204,138",88.1%,"$975,278",11.9%,2011
"9,069",Girls to Buy,"$8,177,284",-,-,"$8,177,284",100%,2021
"9,070",Nick of Time,"$8,175,346","$8,175,346",100%,$0,-,1995
"9,071",Holy Mess,"$8,172,351",-,-,"$8,172,351",100%,2015
"9,072",Midnight FM,"$8,171,078",-,-,"$8,171,078",100%,2010
"9,073",Ernest & Celestine,"$8,170,333","$262,075",3.2%,"$7,908,258",96.8%,2012
"9,074",Green Snake,"$8,170,000",-,-,"$8,170,000",100%,2021
"9,075",Re/Member,"$8,166,175",-,-,"$8,166,175",100%,2022
"9,076",Woo,"$8,165,984","$8,064,972",98.8%,"$101,012",1.2%,1998
"9,077",Alter weißer Mann,"$8,165,361",-,-,"$8,165,361",100%,2024
"9,078",Firestorm,"$8,165,212","$8,165,212",100%,$0,-,1998
"9,079",Control,"$8,159,508","$872,252",10.7%,"$7,287,256",89.3%,2007
"9,080",Cheetah,"$8,153,677","$8,153,677",100%,$0,-,1989
"9,081",The Edukators,"$8,152,859","$175,493",2.2%,"$7,977,366",97.8%,2004
"9,082",Eccezzziunale veramente - Capitolo secondo... me,"$8,150,364",-,-,"$8,150,364",100%,2006
"9,083",L'auberge rouge,"$8,146,041",-,-,"$8,146,041",100%,2007
"9,084",DeepStar Six,"$8,143,225","$8,143,225",100%,$0,-,1989
"9,085",Mangal Pandey,"$8,142,076","$954,108",11.7%,"$7,187,968",88.3%,2005
"9,086",Funny About Love,"$8,141,292","$8,141,292",100%,$0,-,1990
"9,087",Memories,"$8,139,310",-,-,"$8,139,310",100%,2015
"9,088",A Resistance,"$8,137,893",-,-,"$8,137,893",100%,2019
"9,089",National Theatre Live: Fleabag,"$8,135,143","$326,283",4%,"$7,808,860",96%,2019
"9,090",Carmen,"$8,132,397",-,-,"$8,132,397",100%,2003
"9,091",The Man Who Invented Christmas,"$8,127,070","$5,676,486",69.8%,"$2,450,584",30.2%,2017
"9,092",Dead Bang,"$8,125,592","$8,125,592",100%,$0,-,1989
"9,093",Prince of the City,"$8,124,257","$8,124,257",100%,$0,-,1981
"9,094",Through the Fire,"$8,123,764",-,-,"$8,123,764",100%,2018
"9,095",Walk of Shame,"$8,122,990","$59,209",0.7%,"$8,063,781",99.3%,2014
"9,096",Boy s tenyu,"$8,120,875",-,-,"$8,120,875",100%,2005
"9,097",Cities in Love,"$8,120,000",-,-,"$8,120,000",100%,2015
"9,098",Romanzo Criminale,"$8,116,128",-,-,"$8,116,128",100%,2005
"9,099",Spartan,"$8,112,712","$4,434,432",54.7%,"$3,678,280",45.3%,2004
"9,100",Dino King 3D: Journey to Fire Mountain,"$8,112,673",-,-,"$8,112,673",100%,2018
"9,101",Sex with Love,"$8,111,715",-,-,"$8,111,715",100%,2003
"9,102",Un mondo a parte,"$8,108,856",-,-,"$8,108,856",100%,2024
"9,103",Happy Little Submarine: Magic Box of Time,"$8,107,623",-,-,"$8,107,623",100%,2008
"9,104",Outback,"$8,106,158",-,-,"$8,106,158",100%,2012
"9,105",The Philadelphia Experiment,"$8,103,330","$8,103,330",100%,$0,-,1984
"9,106",Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%,2023
"9,107",Rabbit Academy: Mission Eggpossible,"$8,100,549",-,-,"$8,100,549",100%,2022
"9,108",The New Year's Eve of Old Lee,"$8,099,301","$25,358",0.3%,"$8,073,943",99.7%,2016
"9,109",Black and White,"$8,096,913",-,-,"$8,096,913",100%,2008
"9,110","So Long, My Son","$8,096,596",-,-,"$8,096,596",100%,2019
"9,111",Bug,"$8,095,931","$7,025,810",86.8%,"$1,070,121",13.2%,2007
"9,112",Soof 2,"$8,095,275",-,-,"$8,095,275",100%,2016
"9,113",Small Town Rivals,"$8,095,062",-,-,"$8,095,062",100%,2007
"9,114",Fresh,"$8,094,616","$8,094,616",100%,$0,-,1994
"9,115",The Fire Inside,"$8,093,190","$8,093,190",100%,$0,-,2024
"9,116",The Shootist,"$8,091,910","$8,091,910",100%,$0,-,1976
"9,117",Streets of Fire,"$8,090,173","$8,089,290",100%,$883,<0.1%,1984
"9,118",The Company Men,"$8,087,000","$4,441,272",54.9%,"$3,645,728",45.1%,2011
"9,119",Pavarotti,"$8,083,942","$4,600,249",56.9%,"$3,483,693",43.1%,2019
"9,120",Attack on Titan the Movie: The Last Attack,"$8,083,338",-,-,"$8,083,338",100%,2024
"9,121",The Adventures of Baron Munchausen,"$8,083,123","$8,083,123",100%,$0,-,1989
"9,122",Whisper If I Forget,"$8,079,191",-,-,"$8,079,191",100%,2014
"9,123",My Giant,"$8,072,007","$8,072,007",100%,$0,-,1998
"9,124",The Crossing 2,"$8,070,921",-,-,"$8,070,921",100%,2015
"9,125",New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%,2021
"9,126",The House Where the Mermaid Sleeps,"$8,066,925",-,-,"$8,066,925",100%,2018
"9,127",Sahara,"$8,061,843",-,-,"$8,061,843",100%,2017
"9,128",El cantante,"$8,057,636","$7,556,712",93.8%,"$500,924",6.2%,2007
"9,129",Friends of Friends,"$8,055,417",-,-,"$8,055,417",100%,2014
"9,130",Fullmetal Alchemist,"$8,053,641",-,-,"$8,053,641",100%,2017
"9,131",Nice to Meet You,"$8,051,388",-,-,"$8,051,388",100%,2018
"9,132",Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%,2022
"9,133",The Hidden Blade,"$8,043,781","$38,147",0.5%,"$8,005,634",99.5%,2004
"9,134",Aspen Extreme,"$8,041,049","$8,041,049",100%,$0,-,1993
"9,135",Dead Ringers,"$8,038,722","$8,038,508",100%,$214,-,1988
"9,136",The Ice Storm,"$8,038,061","$8,038,061",100%,$0,-,1997
"9,137",Heroine,"$8,036,853","$598,668",7.4%,"$7,438,185",92.6%,2012
"9,138",Billu,"$8,034,797","$754,928",9.4%,"$7,279,869",90.6%,2009
"9,139",Tanguy Is Back,"$8,033,866",-,-,"$8,033,866",100%,2019
"9,140",Haunted Honeymoon,"$8,033,397","$8,033,397",100%,$0,-,1986
"9,141",Counter Investigation,"$8,029,345","$11,846",0.2%,"$8,017,499",99.8%,2007
"9,142",The Texas Chainsaw Massacre 2,"$8,025,872","$8,025,872",100%,$0,-,1986
"9,143",The Birth of Korea,"$8,022,137",-,-,"$8,022,137",100%,2024
"9,144",Il grande giorno,"$8,021,940",-,-,"$8,021,940",100%,2022
"9,145",Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,2020
"9,146",The Meteor Man,"$8,016,708","$8,016,708",100%,$0,-,1993
"9,147",Coffee and Cigarettes,"$8,016,303","$2,198,924",27.4%,"$5,817,379",72.6%,2004
"9,148",Me and You and Everyone We Know,"$8,012,838","$3,885,134",48.5%,"$4,127,704",51.5%,2005
"9,149",The Great White Hype,"$8,008,255","$8,008,255",100%,$0,-,1996
"9,150",One Man and His Cow,"$8,003,756",-,-,"$8,003,756",100%,2016
"9,151",My King,"$8,003,331","$54,114",0.7%,"$7,949,217",99.3%,2015
"9,152",Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%,2018
"9,153",Apne,"$8,002,973",-,-,"$8,002,973",100%,2007
"9,154",The Tatta's,"$8,000,956",-,-,"$8,000,956",100%,2022
"9,155",Night Crossing,"$8,000,000","$8,000,000",100%,$0,-,1982
"9,156",In the Electric Mist,"$7,999,896",-,-,"$7,999,896",100%,2009
"9,157",Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%,2018
"9,158",Denial,"$7,994,527","$4,073,489",51%,"$3,921,038",49%,2016
"9,159",Crô: O Filme,"$7,988,278",-,-,"$7,988,278",100%,2013
"9,160",American Splendor,"$7,986,084","$6,010,990",75.3%,"$1,975,094",24.7%,2003
"9,161",The Pirate Movie,"$7,983,086","$7,983,086",100%,$0,-,1982
"9,162",Sakura Guardian in the North,"$7,978,105",-,-,"$7,978,105",100%,2018
"9,163",Metallica Through the Never,"$7,975,812","$3,419,967",42.9%,"$4,555,845",57.1%,2013
"9,164","My Donkey, My Lover & I","$7,974,769","$152,184",1.9%,"$7,822,585",98.1%,2020
"9,165",Kamen Rider Kiva: King of the Castle in the Demon World,"$7,972,682",-,-,"$7,972,682",100%,2008
"9,166",Nightcap,"$7,972,251","$443,238",5.6%,"$7,529,013",94.4%,2002
"9,167",Grasshopper,"$7,971,675",-,-,"$7,971,675",100%,2015
"9,168",The Team,"$7,970,084",-,-,"$7,970,084",100%,2014
"9,169",The French Kissers,"$7,969,540",-,-,"$7,969,540",100%,2009
"9,170",Vertigo,"$7,967,183","$7,863,310",98.7%,"$103,873",1.3%,1958
"9,171",Silk,"$7,965,682","$1,103,075",13.8%,"$6,862,607",86.2%,2007
"9,172","Coconut, the Little Dragon","$7,964,267",-,-,"$7,964,267",100%,2014
"9,173",My Mom's New Boyfriend,"$7,963,718",-,-,"$7,963,718",100%,2008
"9,174",Strange Days,"$7,959,751","$7,959,291",100%,$460,<0.1%,1995
"9,175",Checker Tobi und die Reise zu den fliegenden Flüssen,"$7,953,458",-,-,"$7,953,458",100%,2023
"9,176",Fanfan,"$7,949,963","$32,686",0.4%,"$7,917,277",99.6%,2003
"9,177",Isi/Disi: Amor a lo bestia,"$7,948,409",-,-,"$7,948,409",100%,2004
"9,178",Funny Games,"$7,948,284","$1,294,919",16.3%,"$6,653,365",83.7%,2008
"9,179",Tough as Iron,"$7,943,977",-,-,"$7,943,977",100%,2013
"9,180",Bibi Blocksberg and the Secret of Blue Owls,"$7,942,498",-,-,"$7,942,498",100%,2004
"9,181",Chasing Mavericks,"$7,942,116","$6,002,756",75.6%,"$1,939,360",24.4%,2012
"9,182",Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%,2018
"9,183",Blankman,"$7,941,977","$7,941,977",100%,$0,-,1994
"9,184",Penguins in the sky - Asahiyama zoo,"$7,941,437",-,-,"$7,941,437",100%,2009
"9,185",Gogol. The Beginning,"$7,939,761",-,-,"$7,939,761",100%,2017
"9,186",The Vulture,"$7,937,312",-,-,"$7,937,312",100%,2009
"9,187",A Thousand Acres,"$7,936,780","$7,936,780",100%,$0,-,1997
"9,188",Planeta Singli 3,"$7,935,472",-,-,"$7,935,472",100%,2019
"9,189",Drive-Away Dolls,"$7,935,363","$5,028,215",63.4%,"$2,907,148",36.6%,2024
"9,190",American Hot Wax,"$7,932,571","$7,932,571",100%,$0,-,1978
"9,191",AI Amok,"$7,932,191",-,-,"$7,932,191",100%,2020
"9,192",On the Way to School,"$7,931,596","$7,424",<0.1%,"$7,924,172",99.9%,2013
"9,193",Measuring the World,"$7,930,771",-,-,"$7,930,771",100%,2012
"9,194",Unstrung Heroes,"$7,929,434","$7,929,434",100%,$0,-,1995
"9,195",The Chase,"$7,924,955","$7,924,955",100%,$0,-,1994
"9,196",Bushwhacked,"$7,919,823","$7,919,823",100%,$0,-,1995
"9,197",Asmali Konak: Hayat,"$7,919,279",-,-,"$7,919,279",100%,2003
"9,198",Sunshine,"$7,918,035","$5,096,267",64.4%,"$2,821,768",35.6%,1999
"9,199",Brigada: Naslednik,"$7,917,683",-,-,"$7,917,683",100%,2012
"9,200",Yes! Pretty Cure 5 GoGo!: Okashi no Kuni no Happy Birthday!,"$7,917,458",-,-,"$7,917,458",100%,2008
"9,201",7 Guardians of the Tomb,"$7,910,928",-,-,"$7,910,928",100%,2018
"9,202",The Brink's Job,"$7,909,950","$7,909,950",100%,$0,-,1978
"9,203",Marriage Blue,"$7,903,932",-,-,"$7,903,932",100%,2013
"9,204",Herb,"$7,903,158",-,-,"$7,903,158",100%,2007
"9,205",Insanity,"$7,901,512",-,-,"$7,901,512",100%,2015
"9,206",The Treacherous,"$7,899,033",-,-,"$7,899,033",100%,2015
"9,207",Kamen Rider Ghost: The 100 Eyecons and Ghost's Fateful Moment,"$7,897,263",-,-,"$7,897,263",100%,2016
"9,208",The Ark of Mr Chow,"$7,894,075","$54,075",0.7%,"$7,840,000",99.3%,2015
"9,209",Porn in the Hood,"$7,893,757",-,-,"$7,893,757",100%,2012
"9,210",Vincent Wants to Sea,"$7,892,908",-,-,"$7,892,908",100%,2010
"9,211",Bunshinsaba 3,"$7,890,000",-,-,"$7,890,000",100%,2014
"9,212",Just the Way You Are,"$7,889,694","$7,889,694",100%,$0,-,1984
"9,213",Teen Wolf Too,"$7,888,703","$7,888,703",100%,$0,-,1987
"9,214",The Funhouse,"$7,886,999","$7,886,857",100%,$142,-,1981
"9,215",Baghban,"$7,885,479","$1,058,803",13.4%,"$6,826,676",86.6%,2003
"9,216",Vampire Sisters,"$7,883,772",-,-,"$7,883,772",100%,2012
"9,217",The Battle of Jangsari,"$7,883,200","$70,853",0.9%,"$7,812,347",99.1%,2019
"9,218",Black Water,"$7,882,387",-,-,"$7,882,387",100%,2018
"9,219",Big Match,"$7,880,684",-,-,"$7,880,684",100%,2014
"9,220",Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%,2021
"9,221",City Island,"$7,878,856","$6,671,036",84.7%,"$1,207,820",15.3%,2009
"9,222",Inside Job,"$7,871,522","$4,312,735",54.8%,"$3,558,787",45.2%,2010
"9,223",A Day,"$7,868,316",-,-,"$7,868,316",100%,2017
"9,224",Goal II: Living the Dream,"$7,864,905","$225,067",2.9%,"$7,639,838",97.1%,2007
"9,225",Famous Five,"$7,863,913",-,-,"$7,863,913",100%,2012
"9,226",Faith: Pope John Paul II,"$7,863,060",-,-,"$7,863,060",100%,2006
"9,227",Mujhse Shaadi Karogi,"$7,862,911","$915,728",11.6%,"$6,947,183",88.4%,2004
"9,228",The Roommates Party,"$7,862,364",-,-,"$7,862,364",100%,2015
"9,229",White Fang,"$7,860,511",-,-,"$7,860,511",100%,2018
"9,230",For a Few Bullets,"$7,860,447","$30,142",0.4%,"$7,830,305",99.6%,2016
"9,231",Salut d'Amour,"$7,858,183","$22,480",0.3%,"$7,835,703",99.7%,2015
"9,232",Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%,2022
"9,233",Touken Ranbu: The Movie,"$7,858,150",-,-,"$7,858,150",100%,2019
"9,234",Wild Chicks in Love,"$7,856,086",-,-,"$7,856,086",100%,2007
"9,235",Qualquer Gato Vira-Lata,"$7,856,048",-,-,"$7,856,048",100%,2011
"9,236","Lord, Give Me Patience","$7,855,570",-,-,"$7,855,570",100%,2017
"9,237",It May Be Love But It Doesn't Show,"$7,855,434",-,-,"$7,855,434",100%,2011
"9,238",Love Letter,"$7,854,754",-,-,"$7,854,754",100%,1999
"9,239",The Red Shoes,"$7,853,740",-,-,"$7,853,740",100%,2005
"9,240",The Freshmen,"$7,851,397",-,-,"$7,851,397",100%,2018
"9,241",Pele: Birth of a Legend,"$7,846,608","$57,046",0.7%,"$7,789,562",99.3%,2016
"9,242",D.A.R.Y.L.,"$7,840,873","$7,840,873",100%,$0,-,1985
"9,243",Fatal Instinct,"$7,839,327","$7,839,327",100%,$0,-,1993
"9,244",The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,2020
"9,245",The Silent Service,"$7,836,539",-,-,"$7,836,539",100%,2023
"9,246",Princess Lillifee,"$7,836,005",-,-,"$7,836,005",100%,2009
"9,247",Summer Hours,"$7,835,857","$1,657,001",21.2%,"$6,178,856",78.8%,2008
"9,248",Coup de Chance,"$7,835,187",-,-,"$7,835,187",100%,2023
"9,249",The Lady,"$7,832,142","$355,391",4.5%,"$7,476,751",95.5%,2011
"9,250",The Little Drummer Girl,"$7,828,841","$7,828,841",100%,$0,-,1984
"9,251",Dead Calm,"$7,825,135","$7,825,009",100%,$126,-,1989
"9,252",Serial Mom,"$7,823,437","$7,820,688",100%,"$2,749",<0.1%,1994
"9,253",Pandas,"$7,821,975","$7,574,012",96.8%,"$247,963",3.2%,2018
"9,254",Felix - Ein Hase auf Weltreise,"$7,821,859",-,-,"$7,821,859",100%,2005
"9,255",The Hole,"$7,819,851",-,-,"$7,819,851",100%,2001
"9,256",The Best of Times,"$7,817,314","$7,790,931",99.7%,"$26,383",0.3%,1986
"9,257",Renoir,"$7,816,573","$2,293,798",29.4%,"$5,522,775",70.6%,2013
"9,258",Dear My Love,"$7,816,156",-,-,"$7,816,156",100%,2009
"9,259",Ali Baba and the Seven Dwarfs,"$7,816,034",-,-,"$7,816,034",100%,2015
"9,260",Little Big Panda,"$7,812,864",-,-,"$7,812,864",100%,2011
"9,261",Dongju: The Portrait of a Poet,"$7,809,531","$56,550",0.7%,"$7,752,981",99.3%,2016
"9,262",Tupac: Resurrection,"$7,808,524","$7,718,961",98.8%,"$89,563",1.2%,2003
"9,263",Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%,2018
"9,264",Bibi & Tina voll verhext!,"$7,807,600",-,-,"$7,807,600",100%,2014
"9,265",Axel 2: Adventures of the Spacekids,"$7,806,368",-,-,"$7,806,368",100%,2017
"9,266",Topsy-Turvy,"$7,804,439","$6,208,548",79.6%,"$1,595,891",20.4%,1999
"9,267",Bad Words,"$7,804,337","$7,779,614",99.7%,"$24,723",0.3%,2014
"9,268",Pitbull: New Orders,"$7,802,960",-,-,"$7,802,960",100%,2016
"9,269",Carrossel: O Filme,"$7,802,639",-,-,"$7,802,639",100%,2015
"9,270",Long Live the King,"$7,801,577",-,-,"$7,801,577",100%,2019
"9,271",House II: The Second Story,"$7,800,000","$7,800,000",100%,$0,-,1987
"9,272",Amazing Grace,"$7,796,112","$4,450,456",57.1%,"$3,345,656",42.9%,2018
"9,273",Atatürk 1881-1919,"$7,795,687",-,-,"$7,795,687",100%,2023
"9,274",Warsaw 44,"$7,795,076",-,-,"$7,795,076",100%,2014
"9,275",Antebellum,"$7,792,716",-,-,"$7,792,716",100%,2020
"9,276",The Three Investigators and the Secret of Skeleton Island,"$7,789,549",-,-,"$7,789,549",100%,2007
"9,277",If Looks Could Kill,"$7,788,597","$7,788,597",100%,$0,-,1991
"9,278",In the Loop,"$7,787,487","$2,388,804",30.7%,"$5,398,683",69.3%,2009
"9,279",The Children of Huang Shi,"$7,785,975","$1,031,872",13.2%,"$6,754,103",86.8%,2008
"9,280",My Führer,"$7,785,273","$2,465",<0.1%,"$7,782,808",100%,2007
"9,281",Lovers of 6 Years,"$7,780,316",-,-,"$7,780,316",100%,2008
"9,282",False Trail,"$7,780,071",-,-,"$7,780,071",100%,2011
"9,283",Journey to Bethlehem,"$7,778,330","$6,820,796",87.7%,"$957,534",12.3%,2023
"9,284",Real Women Have Curves,"$7,777,790","$5,853,194",75.3%,"$1,924,596",24.7%,2002
"9,285",Ants in the Pants,"$7,775,236",-,-,"$7,775,236",100%,2000
"9,286",Killing Me Softly,"$7,775,138",-,-,"$7,775,138",100%,2002
"9,287",Soar Into the Sun,"$7,772,028",-,-,"$7,772,028",100%,2012
"9,288",Sirens,"$7,770,731","$7,770,731",100%,$0,-,1994
"9,289",Un'estate al mare,"$7,770,731",-,-,"$7,770,731",100%,2008
"9,290",For Those We Love,"$7,769,311",-,-,"$7,769,311",100%,2007
"9,291",P2,"$7,766,240","$3,995,018",51.4%,"$3,771,222",48.6%,2007
"9,292",Twilight Gangsters,"$7,765,343",-,-,"$7,765,343",100%,2010
